"DISASTER","STATE","COUNTY","CITY","ZIP_CODE","VALID_REGISTRATIONS","AVERAGE_FEMA_INSPECTED_DAMAGE","TOTAL_INSPECTED","TOTAL_DAMAGE","NO_FEMA_INSPECTED_DAMAGE","FEMA_INSPECTED_DAMAGE_BETWEEN_1_10K","FEMA_INSPECTED_DAMAGE_BETWEEN_10K_20K","FEMA_INSPECTED_DAMAGE_BETWEEN_20K_30K","FEMA_INSPECTED_DAMAGE_GT_30K","APPROVED_FOR_FEMA_ASSISTANCE","TOTAL_APPROVED_IHP_AMOUNT","REPAIR_REPLACE_AMOUNT","RENTAL_AMOUNT"
4332,"TX","Jefferson (County)","SOUR LAKE",77659,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","SUGARLAND",77478,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","SUGARLAND",77498,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","WOODVILLE",75979,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","ATASCOCITA",77044,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","ATASCOCITA",77396,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","BIG SPRING",79720,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","COLDSPRING",77331,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","FORT WORTH",76135,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","FORT WORTH",76123,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","FRIENDWOOD",77546,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","GREENVILLE",75402,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HUNTSVILLE",77320,2,0,2,0,2,0,0,0,0,0,0,0,0
